SB 1 	SB 	Nelson 	General Appropriations Bill. 	['State Finances--Appropriations (I0746)'] 	03/22/2017 	Scheduled for public hearing on  . . . 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1 	['none']
SB 733 	SB 	Hancock 	Relating to the sanitation and safety requirements for certain artificial bodies of water maintained for public recreational purposes. 	['Health--General (I0385),Safety (I0740),HEALTH & HUMAN SERVICES COMMISSION (V0177)'] 	02/21/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB733 	['HB 1468', 'filler']
SB 734 	SB 	Hancock 	Relating to the sale of distilled spirits to ultimate consumers by the holder of a distiller's and rectifier's permit. 	['Alcoholic Beverage Regulation (I0025),PERMITS (S0011)'] 	02/21/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB734 	['HB 1074', 'HB 2660', 'filler']
SB 735 	SB 	Hancock 	Relating to periodic rate adjustment by electric utilities. 	['Utilities--Electric (I0831),PUBLIC UTILITY COMMISSION (V0023)'] 	03/09/2017 	Left pending in committee 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB735 	['none']
SB 736 	SB 	Hancock 	Relating to the authority of the General Land Office to sell retail electric power. 	['State Agencies Boards & Commissions (I0749),Utilities--Electric (I0831),Utilities--Natural Gas (I0001),GENERAL LAND OFFICE (V2808)'] 	03/21/2017 	Considered in public hearing 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB736 	['HB 1685', 'filler']
SB 737 	SB 	Hancock 	Relating to requirements for new or increased municipal fees. 	['City Government--Finance (I0062),City Government--General (I0060),Fees & Other Nontax Revenue--Local (I0361)'] 	03/22/2017 	Scheduled for public hearing on  . . . 	Senate 	Intergovernmental Relations 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB737 	['HB 1557', 'filler']
SB 738 	SB 	Kolkhorst 	Relating to a filing requirement for certain petitions for the termination of the parent-child relationship. 	['Family--Child Protection (I0351),FAMILY & PROTECTIVE SERVICES DEPARTMENT OF (V0461)'] 	02/21/2017 	Referred to Health & Human Services 	Senate 	Health & Human Services 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB738 	['none']
SB 739 	SB 	Kolkhorst 	Relating to the postponement of certain hearings in suits affecting the parent-child relationship involving the Department of Family and Protective Services. 	['Family--Child Protection (I0351),Family--Parent & Child (I0355),FAMILY & PROTECTIVE SERVICES DEPARTMENT OF (V0461)'] 	02/21/2017 	Referred to Health & Human Services 	Senate 	Health & Human Services 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB739 	['none']
SB 740 	SB 	Kolkhorst 	Relating to the acquisition of property by an entity with eminent domain authority. 	['Property Interests--Eminent Domain (I0615),CONDEMNATION (S0063)'] 	02/21/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB740 	['none']
SB 741 	SB 	Kolkhorst 	Relating to compensation to a property owner for property acquired by an entity with eminent domain authority. 	['Property Interests--Eminent Domain (I0615),CONDEMNATION (S0063)'] 	02/21/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB741 	['none']
SB 742 	SB 	Kolkhorst 	Relating to requirements for a bona fide offer for the acquisition of property by an entity with eminent domain authority. 	['Property Interests--Eminent Domain (I0615),CONDEMNATION (S0063)'] 	02/21/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB742 	['HB 2694', 'filler']
SB 743 	SB 	Kolkhorst 	Relating to the abolition of the fee established by the commissioner of the General Land Office for processing applications for terminal facility discharge prevention and response certificates. 	['Coastal Affairs & Beaches (I0067),Environment--Water (I0320),Fees & Other Nontax Revenue--State (I0362),Oil & Gas (I0545),GENERAL LAND OFFICE (V2808)'] 	02/21/2017 	Referred to Natural Resources & Economic Development 	Senate 	Natural Resources & Economic Development 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB743 	['HB 1481', 'filler']
SB 744 	SB 	Kolkhorst 	Relating to a tree planting credit to offset tree mitigation fees imposed by a municipality. 	['City Government--General (I0060),City Government--Land Use & Zoning (I0064)'] 	03/20/2017 	Left pending in committee 	Senate 	Intergovernmental Relations 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB744 	['HB 2052', 'filler']
SB 745 	SB 	Kolkhorst 	Relating to the exemption of certain services performed by certain employees from the sales and use tax. 	['Labor--Management Relations (I0465),Taxation--Sales (I0800)'] 	03/27/2017 	Scheduled for public hearing on  . . . 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB745 	['HB 4052', 'filler']
SB 746 	SB 	Kolkhorst 	Relating to a prohibition of the land application of grit or grease trap waste. 	['Environment--Solid Waste (I0330),ENVIRONMENTAL QUALITY TEXAS COMMISSION ON (V0334)'] 	02/21/2017 	Referred to Natural Resources & Economic Development 	Senate 	Natural Resources & Economic Development 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB746 	['HB 2092', 'HB 2517', 'filler']
SB 747 	SB 	Kolkhorst 	Relating to a prohibition on the issuance by the Railroad Commission of Texas of a permit for a commercial surface disposal facility located near a municipality. 	['Environment--Water (I0320),Oil & Gas (I0545),RAILROAD COMMISSION (V0089)'] 	02/21/2017 	Referred to Natural Resources & Economic Development 	Senate 	Natural Resources & Economic Development 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB747 	['none']
SB 748 	SB 	Zaffirini 	Relating to transition planning for a public school student enrolled in a special education program. 	['Disabilities Persons with (I0380),Education--Primary & Secondary--Special (I0243),EDUCATION COMMISSIONER OF (V9954)'] 	02/21/2017 	Referred to Education 	Senate 	Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB748 	['HB 4027', 'filler']
SB 749 	SB 	Watson 	Relating to certain charges by the Bastrop County Water Control and Improvement District No. 2; authorizing an increase in a fee. 	['BASTROP COUNTY WATER CONTROL & IMPROVEMENT DISTRICT NO. 2 (D0064),Special Districts & Authorities--Water & Utility (I0755),Special Districts & Authorities--Water Control Improve Dist. (I0012)'] 	02/21/2017 	Referred to Intergovernmental Relations 	Senate 	Intergovernmental Relations 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB749 	['none']
SB 750 	SB 	Birdwell, Huffines, Rodríguez 	Relating to restrictions on holders of package store permits. 	['Alcoholic Beverage Regulation (I0025),PACKAGE STORES (S0349)'] 	02/21/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB750 	['HB 1872', 'filler']
SB 751 	SB 	Campbell 	Relating to the confidentiality of certain information of and the abolishment date of the military base realignment and closure task force. 	['Military & Veterans (I0535),Open Records (I0548)'] 	03/21/2017 	Not again placed on intent calendar 	Senate 	Veteran Affairs & Border Security 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB751 	['none']
SB 752 	SB 	Campbell 	Relating to the overseas military e-mail ballot program. 	['Elections--Early Voting (I0260),Elections--Voting Systems (I0270),Electronic Information Systems (I0311),Military & Veterans (I0535)'] 	02/22/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB752 	['HB 1413', 'HB 1414', 'filler']
SB 753 	SB 	Perry 	Relating to financial accounting and reporting requirements for this state and political subdivisions of this state. 	['City Government--Finance (I0062),County Government--Finance (I0097),Political Subdivisions (I0588),State Finances--Management & Control (I0748),ACCOUNTING & ACCOUNTANTS (S4321)'] 	02/22/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB753 	['HB 1930', 'HB 3320', 'filler']
SB 754 	SB 	Perry 	Relating to the extension and modification of a public school district depository contract. 	['Education--Primary & Secondary--Finance (I0250),Education--School Districts (I0220)'] 	02/22/2017 	Referred to Education 	Senate 	Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB754 	['HB 878', 'filler']
SB 755 	SB 	Menéndez 	Relating to the authority of a school district to donate food to a nonprofit organization to be served to students of the district. 	['Charitable & Nonprofit Organizations (I0055),Education--Primary & Secondary--General (I0230),Education--School Districts (I0220),Human Services--Food Programs (I0910),Minors--Health & Safety (I0533),FOOD (S0761)'] 	02/22/2017 	Referred to Agriculture Water &  Rural Affairs 	Senate 	Agriculture Water & Rural Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB755 	['SB 725', 'filler']
SB 756 	SB 	Menéndez 	Relating to required coverage for obesity under group health benefit plans. 	['Health--Other Diseases & Medical Conditions (I0383),Insurance--Health & Accident (I0422),COMPTROLLER OF PUBLIC ACCOUNTS (V2608)'] 	02/22/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB756 	['HB 3560', 'filler']
SB 757 	SB 	Menéndez 	Relating to creating a voluntary program to recognize licensed before-school and after-school programs that promote healthy eating and physical activity. 	['Education--Primary & Secondary--General (I0230),Minors--Health & Safety (I0533),FAMILY & PROTECTIVE SERVICES DEPARTMENT OF (V0461)'] 	02/22/2017 	Referred to Health & Human Services 	Senate 	Health & Human Services 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB757 	['HB 168', 'filler']
SB 758 	SB 	Menéndez 	Relating to bill payment assistance programs offered by certain municipalities. 	['City Government--Utilities (I0068),Utilities--Electric (I0831)'] 	03/22/2017 	Scheduled for public hearing on  . . . 	Senate 	Intergovernmental Relations 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB758 	['HB 1633', 'filler']
SB 759 	SB 	Menéndez 	Relating to the designation of Remember the Alamo Day as a state holiday. 	['Holidays (I0395),ALAMO THE (S0070)'] 	02/22/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB759 	['HB 724', 'filler']
SB 760 	SB 	Menéndez 	Relating to county authority to regulate fireworks. 	['County Government--General (I0096),Safety--Fireworks (I0741)'] 	02/22/2017 	Referred to Intergovernmental Relations 	Senate 	Intergovernmental Relations 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB760 	['HB 3639', 'filler']
SB 761 	SB 	Menéndez 	Relating to the punishment for certain intoxication offenses and the eligibility for deferred adjudication community supervision of defendants who committed certain intoxication offenses. 	['Criminal Procedure--Sentencing & Punishment (I0205),Vehicles & Traffic--DWI & DUID (I0863),DEFERRED ADJUDICATION (S6185),IGNITION INTERLOCK DEVICE (S0147),MANDATORY & COMMUNITY SUPERVISION (S2314)'] 	02/22/2017 	Referred to Criminal Justice 	Senate 	Criminal Justice 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB761 	['HB 2089', 'filler']
SB 762 	SB 	Menéndez 	Relating to the prosecution of offenses involving cruelty to animals and to the inclusion of related conduct in the definition of family violence; increasing a criminal penalty. 	['Animals (I0035),Criminal Procedure--General (I0208),Criminal Procedure--Sentencing & Punishment (I0205),Family--Family Violence (I0353)'] 	02/22/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB762 	['HB 1357', 'filler']
SB 763 	SB 	Huffman 	Relating to the composition of the Texas Historical Commission. 	['Historic Preservation & Museums (I0392),State Agencies Boards & Commissions (I0749),ARCHEOLOGY & ARCHEOLOGISTS (S0145),ARCHITECTS & ARCHITECTURE (S0026),HISTORICAL COMMISSION TEXAS  (V0238)'] 	03/21/2017 	Testimony taken in committee 	Senate 	Natural Resources & Economic Development 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB763 	['HB 2417', 'filler']
SB 764 	SB 	Huffines 	Relating to accounting for costs incurred by this state as a result of the presence of persons who are not lawfully present in the United States. 	['Aliens (I0032),State Finances--Management & Control (I0748),COMPTROLLER OF PUBLIC ACCOUNTS (V2608)'] 	02/22/2017 	Referred to Finance 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB764 	['none']
SB 765 	SB 	Huffines 	Relating to providing the financial cost incurred by the Texas Education Agency as a result of providing educational services to persons who are not lawfully present in the United States. 	['Aliens (I0032),Education--Primary & Secondary--General (I0230),State Agencies Boards & Commissions (I0749),State Finances--Management & Control (I0748),EDUCATION AGENCY TEXAS (V9941)'] 	02/22/2017 	Referred to Finance 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB765 	['none']
SB 766 	SB 	Huffines 	Relating to accounting for costs incurred by the health and human services system as a result of the presence in this state of persons who are not lawfully present in the United States. 	['Aliens (I0032),Human Services--General (I0920),State Agencies Boards & Commissions (I0749),State Finances--Management & Control (I0748),HEALTH & HUMAN SERVICES COMMISSION (V0177)'] 	02/22/2017 	Referred to Finance 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB766 	['none']
SB 767 	SB 	Huffines 	Relating to accounting for costs incurred by the Texas Department of Criminal Justice as a result of the presence in this state of persons who are not lawfully present in the United States. 	['Aliens (I0032),Corrections--Jails & Prisons (I0092),State Finances--Management & Control (I0748),CRIMINAL JUSTICE TEXAS DEPARTMENT OF (V8788)'] 	02/22/2017 	Referred to Finance 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB767 	['none']
SB 768 	SB 	Zaffirini 	Relating to the Texas emissions reduction plan including the eligibility for grants for natural gas fueling stations under the Texas natural gas vehicle grant program. 	['Energy--Alternative Fuels (I0314),Environment--Air (I0325),Highways (I0390),State Agencies Boards & Commissions (I0749),ENVIRONMENTAL QUALITY TEXAS COMMISSION ON (V0334)'] 	02/22/2017 	Referred to Natural Resources & Economic Development 	Senate 	Natural Resources & Economic Development 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB768 	['none']
SB 769 	SB 	Watson 	Relating to the issuance of specialty license plates for recipients of the Combat Medical Badge. 	['Military & Veterans (I0535),Vehicles & Traffic--Vehicle Registration (I0845),AWARDS MEDALS PRIZES (S0129),LICENSE PLATES (S9823)'] 	03/22/2017 	Scheduled for public hearing on  . . . 	Senate 	Transportation 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB769 	['none']
SB 770 	SB 	Watson 	Relating to a specialty certification for insurance agents who have completed certain training regarding self-insured health benefit plans. 	['Insurance--Health & Accident (I0422),Insurance--Insurers & Agents (I0425),INSURANCE TEXAS DEPARTMENT OF (V0006)'] 	02/22/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB770 	['HB 1297', 'filler']
SB 771 	SB 	Creighton 	Relating to deferred payment of ad valorem taxes for certain persons serving in the United States armed forces. 	['Military & Veterans (I0535),Taxation--Property-Assessment & Collection (I0798)'] 	02/22/2017 	Referred to Vet Affairs & Border Security 	Senate 	Veteran Affairs & Border Security 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB771 	['HB 1632', 'filler']
SB 772 	SB 	Uresti 	Relating to the authority of a code enforcement officer when performing official duties to possess or carry an instrument used for deterring the bite of an animal. 	['Animals (I0035),Law Enforcement (I0510),Occupational Regulation--Other Trades & Professions (I0541),Safety (I0740),Weapons (I0887),CONTINUING EDUCATION (S0234),LICENSING & REGULATION TEXAS COMMISSION OF (V0383)'] 	02/22/2017 	Referred to Criminal Justice 	Senate 	Criminal Justice 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB772 	['none']
SB 773 	SB 	Uresti 	Relating to the authority of a judge to compel a criminal defendant who lacks capacity to take psychoactive medication. 	['Courts--General (I0160),Courts--Judges (I0140),Criminal Procedure--General (I0208),Mental Health & Substance Abuse (I0019),MEDICINE & PRESCRIPTION DRUGS (S7338)'] 	03/21/2017 	Scheduled for public hearing on  . . . 	Senate 	Criminal Justice 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB773 	['none']
SB 774 	SB 	Perry 	Relating to extensions of an expired permit for the transfer of groundwater from a groundwater conservation district. 	['Special Districts & Authorities--Groundwater Conserve Dist. (I0013),Special Districts & Authorities--Water & Utility (I0755),PERMITS (S0011)'] 	02/22/2017 	Referred to Agriculture Water &  Rural Affairs 	Senate 	Agriculture Water & Rural Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB774 	['HB 2378', 'filler']
SB 775 	SB 	Estes 	Relating to providing information to the public and to purchasers of real property regarding the impact of military installations. 	['City Government--Land Use & Zoning (I0064),County Government--Land Use & Zoning (I0098),Military & Veterans (I0535),Open Records (I0548),Political Subdivisions (I0588),Property Interests--Landlord & Tenant (I0610),Property Interests--Real Property (I0595)'] 	02/22/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB775 	['HB 797', 'HB 890', 'filler']
SB 776 	SB 	Rodríguez 	Relating to including in the minimum attendance requirement of a public school student any absence of the student to participate in an extracurricular activity. 	['Education--Primary & Secondary--Admission & Attendance (I0227),Education--Primary & Secondary--Extracurricular Activities (I0247),Education--Primary & Secondary--Finance (I0250)'] 	02/22/2017 	Referred to Education 	Senate 	Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB776 	['HB 2618', 'filler']
SB 777 	SB 	Rodríguez 	Relating to the availability of school counselors at public middle junior high and high school campuses. 	['Education--Primary & Secondary--Finance (I0250),Education--Primary & Secondary--Other School Personnel (I0246),PROFESSIONAL COUNSELORS (S0714),EDUCATION COMMISSIONER OF (V9954)'] 	02/22/2017 	Referred to Education 	Senate 	Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB777 	['none']
SB 778 	SB 	Taylor Van 	Relating to the appointment of school marshals by public schools and the ammunition approved for use by a school marshal serving a public school or a public junior college. 	['Education--Junior College Districts (I0225),Education--Primary & Secondary--Other School Personnel (I0246),Law Enforcement (I0510),Safety (I0740),Weapons (I0887),COMMISSION ON LAW ENFORCEMENT TEXAS (V1064)'] 	02/22/2017 	Referred to Education 	Senate 	Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB778 	['HB 960', 'filler']
SB 779 	SB 	Seliger 	Relating to the indigent status of a person for the purposes of the driver responsibility program. 	["Vehicles & Traffic--Driver's Licenses (I0840),Vehicles & Traffic--Rules of Road (I0860),PUBLIC SAFETY DEPARTMENT OF (V0251)"] 	02/22/2017 	Referred to Transportation 	Senate 	Transportation 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB779 	['HB 1430', 'filler']
SB 780 	SB 	West 	Relating to monetary assistance provided by the Department of Family and Protective Services to certain relatives and designated caregivers. 	['Family--Parent & Child (I0355),FAMILY & PROTECTIVE SERVICES DEPARTMENT OF (V0461),HEALTH & HUMAN SERVICES COMMISSION (V0177)'] 	02/22/2017 	Referred to Health & Human Services 	Senate 	Health & Human Services 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB780 	['none']
SB 781 	SB 	Zaffirini 	Relating to a limitation on the location of solid waste facilities. 	['Environment--Solid Waste (I0330),Water--General (I0885)'] 	02/22/2017 	Referred to Agriculture Water &  Rural Affairs 	Senate 	Agriculture Water & Rural Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB781 	['none']
SB 782 	SB 	Campbell 	Relating to the ownership and local regulation of trees and timber. 	['City Government--Land Use & Zoning (I0064),County Government--Land Use & Zoning (I0098),Political Subdivisions (I0588),Property Interests--Real Property (I0595),TIMBER & TIMBERLAND (S6061)'] 	02/22/2017 	Referred to Agriculture Water &  Rural Affairs 	Senate 	Agriculture Water & Rural Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB782 	['HB 2535', 'filler']
SB 783 	SB 	Hinojosa 	Relating to the disclosure restrictions on personnel files of police officers of municipalities that have adopted certain civil service laws. 	['City Government--Employees/Officers (I0061),Criminal Procedure--General (I0208),Fire Fighters & Police--General (I0370),Law Enforcement (I0510),Open Records (I0548),Protection of Personal Information (I0003)'] 	02/22/2017 	Referred to Criminal Justice 	Senate 	Criminal Justice 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB783 	['none']
SB 784 	SB 	Hinojosa 	Relating to the waiver of certain fees for an assumed name certificate or a statement of abandonment of use of an assumed name filed by a military veteran. 	['Business & Commerce--General (I0050),Fees & Other Nontax Revenue--Local (I0361),Military & Veterans (I0535)'] 	02/22/2017 	Referred to Vet Affairs & Border Security 	Senate 	Veteran Affairs & Border Security 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB784 	['HB 1646', 'filler']
SB 785 	SB 	Hinojosa 	Relating to the use of the rural water assistance fund. 	['Political Subdivisions (I0588),Water--Development (I0875),Water--General (I0885),RURAL (S0467)'] 	02/22/2017 	Referred to Agriculture Water &  Rural Affairs 	Senate 	Agriculture Water & Rural Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB785 	['HB 544', 'filler']
SB 786 	SB 	Nichols 	Relating to prohibiting the use of eminent domain to take private property for recreational purposes. 	['Parks & Wildlife--Parks (I0555),Property Interests--Eminent Domain (I0615),Property Interests--Real Property (I0595),RECREATIONAL & CULTURAL FACILITIES (S0286)'] 	02/22/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB786 	['none']
SB 787 	SB 	Huffman 	Relating to the award of court costs and attorney's fees in actions to determine the applicability of certain local government regulations. 	["City Government--Land Use & Zoning (I0064),Civil Remedies & Liabilities (I0065),County Government--Land Use & Zoning (I0098),Political Subdivisions (I0588),ATTORNEY'S FEES (S0202)"] 	02/22/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB787 	['HB 1704', 'filler']
SB 788 	SB 	Huffman 	Relating to the administration of and benefits payable under the Texas Public School Retired Employees Group Benefits Act. 	['Insurance--Health & Accident (I0422),Retirement Systems--Teachers (I0726),MEDICARE (S6016)'] 	02/22/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB788 	['HB 3976', 'filler']
SB 789 	SB 	Huffman 	Relating to the administration of and benefits payable under the Texas School Employees Uniform Group Health Coverage Act. 	['Insurance--Health & Accident (I0422),Retirement Systems--Teachers (I0726)'] 	02/22/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB789 	['none']
SB 790 	SB 	Miles 	Relating to the continuation of the women's health advisory committee. 	['Health--General (I0385),Human Services--General (I0920),State Agencies Boards & Commissions (I0749),Women (I0925)'] 	03/20/2017 	Considered in public hearing 	Senate 	Health & Human Services 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB790 	['HB 279', 'filler']
SB 791 	SB 	Miles 	Relating to the financial abuse of elderly persons including requiring financial institutions to report suspected financial abuse of elderly persons; providing a civil penalty; creating criminal offenses. 	['Aging (I0015),Business & Commerce--General (I0050),Crimes--Miscellaneous (I0200),Financial--General (I0365),State Agencies Boards & Commissions (I0749),ELDER ABUSE (S0247),BANKING TEXAS DEPARTMENT OF (V8741),CREDIT UNION COMMISSION (V0078),FAMILY & PROTECTIVE SERVICES DEPARTMENT OF (V0461),FINANCE COMMISSION OF TEXAS (V0133),HEALTH & HUMAN SERVICES COMMISSION (V0177),SAVINGS & MORTGAGE LENDING DEPARTMENT OF (V0620)'] 	02/22/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB791 	['HB 959', 'filler']
SB 792 	SB 	Miles 	Relating to requiring financial institutions to report the suspected financial abuse of elderly persons; providing a civil and criminal penalty. 	['Aging (I0015),Business & Commerce--General (I0050),Financial--General (I0365),ELDER ABUSE (S0247),CREDIT UNION COMMISSION (V0078),FAMILY & PROTECTIVE SERVICES DEPARTMENT OF (V0461),FINANCE COMMISSION OF TEXAS (V0133),HEALTH & HUMAN SERVICES COMMISSION (V0177)'] 	02/22/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB792 	['HB 916', 'filler']
SB 793 	SB 	Miles 	Relating to restrictions on the location and operation of concrete crushing facilities. 	['Environment--Air (I0325),CEMENT & CONCRETE (S0315),ENVIRONMENTAL QUALITY TEXAS COMMISSION ON (V0334)'] 	02/22/2017 	Referred to Natural Resources & Economic Development 	Senate 	Natural Resources & Economic Development 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB793 	['none']
SB 794 	SB 	Miles 	Relating to the biennial report to the legislature on grants made to entities under the Texas Enterprise Fund. 	['Business & Commerce--Small Business & Minority Business (I0051),Economic & Industrial Development--General (I0214),HISTORICALLY UNDERUTILIZED BUSINESSES (S0076),TEXAS ENTERPRISE FUND (S0615)'] 	03/14/2017 	Left pending in committee 	Senate 	Natural Resources & Economic Development 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB794 	['none']
SB 795 	SB 	Miles 	Relating to use of the money from the Texas Enterprise Fund to benefit certain historically underutilized businesses. 	['Business & Commerce--Small Business & Minority Business (I0051),Economic & Industrial Development--General (I0214),Governor (I0375),HISTORICALLY UNDERUTILIZED BUSINESSES (S0076),TEXAS ENTERPRISE FUND (S0615)'] 	02/22/2017 	Referred to Natural Resources & Economic Development 	Senate 	Natural Resources & Economic Development 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB795 	['none']
